Instância,Custo_BB,Gap (%)_BB,Tempo (s)_BB,Custo_PLI,Gap (%)_PLI,Tempo (s)_PLI
medium_1,1598.5,0.0,3.28,1697.5,4.39,0.03
medium_2,1008.5,0.0,3.25,0.0,0.0,0.02
medium_3,1756.0,0.0,3.27,0.0,0.0,0.02
small_1,545.0,1.01,0.0,564.0,0.0,0.0
small_2,498.0,0.0,0.0,528.0,0.0,0.0
small_3,841.0,0.0,0.0,887.0,0.03,0.0
